sheet,group,rank,term,tfidf_score
tfidf_top,minor,13,identity,0.07479
tfidf_top,minor,14,majors,0.06733
tfidf_top,minor,15,stage,0.06544
tfidf_top,minor,16,asylum,0.06359
tfidf_top,minor,17,personal,0.0631
tfidf_top,minor,18,legal,0.06224
tfidf_top,minor,19,institutions,0.06076
tfidf_top,minor,20,refugee,0.05685
tfidf_top,minor,21,pedagogical,0.05609
tfidf_top,minor,22,pre,0.05142
tfidf_top,minor,23,professional,0.04871
tfidf_top,minor,24,illegal,0.04863
tfidf_top,minor,25,option,0.04863
tfidf_top,teenage,1,teenage,0.67308
tfidf_top,teenage,2,pregnancy,0.33092
tfidf_top,teenage,3,teenagers,0.32235
tfidf_top,teenage,4,teenager,0.24097
tfidf_top,teenage,5,teenage mothers,0.21955
tfidf_top,teenage,6,mothers,0.20918
tfidf_top,teenage,7,teen,0.07545
tfidf_top,teenage,8,learners,0.06687
tfidf_top,teenage,9,pregnant,0.05792
tfidf_top,teenage,10,social media,0.05559
tfidf_top,teenage,11,pregnancies,0.05489
tfidf_top,teenage,12,sexual health,0.05097
tfidf_top,teenage,13,internet,0.04972
tfidf_top,teenage,14,sex education,0.04567
tfidf_top,teenage,15,style,0.04567
tfidf_top,teenage,16,sexuality,0.04567
tfidf_top,teenage,17,character,0.04567
tfidf_top,teenage,18,south africa,0.04391
tfidf_top,teenage,19,bullying,0.04287
tfidf_top,teenage,20,childbearing,0.04117
tfidf_top,teenage,21,secondary schools,0.03772
tfidf_top,teenage,22,descriptive,0.03772
tfidf_top,teenage,23,museum,0.03707
tfidf_top,teenage,24,selected,0.03601
tfidf_top,teenage,25,marriage,0.03475
tfidf_top,adolescent,1,adolescence,0.56643
tfidf_top,adolescent,2,childhood,0.18272
tfidf_top,adolescent,3,connectedness,0.14623
tfidf_top,adolescent,4,adulthood,0.14617
tfidf_top,adolescent,5,sexual health,0.09876
tfidf_top,adolescent,6,adolescent health,0.09876
tfidf_top,adolescent,7,depressive,0.09383
tfidf_top,adolescent,8,childhood adolescence,0.0931
tfidf_top,adolescent,9,spatial,0.0931
tfidf_top,adolescent,10,menstrual,0.08774
tfidf_top,adolescent,11,internalizing,0.08463
tfidf_top,adolescent,12,depressive symptoms,0.08395
tfidf_top,adolescent,13,adolescent mental,0.08395
tfidf_top,adolescent,14,resources,0.0804
tfidf_top,adolescent,15,physical activity,0.0804
tfidf_top,adolescent,16,late adolescence,0.07901
tfidf_top,adolescent,17,parent adolescent,0.07901
tfidf_top,adolescent,18,late,0.07674
tfidf_top,adolescent,19,domains,0.07617
tfidf_top,adolescent,20,sexuality,0.07617
tfidf_top,adolescent,21,health education,0.07309
tfidf_top,adolescent,22,contextual,0.07309
tfidf_top,adolescent,23,ideation,0.07019
tfidf_top,adolescent,24,vocabulary,0.06913
tfidf_top,adolescent,25,schoolwork,0.06434
tfidf_top,juvenile,1,juvenile,0.8972
tfidf_top,juvenile,2,delinquency,0.16089
tfidf_top,juvenile,3,juvenile justice,0.1572
tfidf_top,juvenile,4,juvenile delinquency,0.15337
tfidf_top,juvenile,5,offenders,0.14953
tfidf_top,juvenile,6,forest,0.07668
tfidf_top,juvenile,7,crime,0.06935
tfidf_top,juvenile,8,criminal,0.06798
tfidf_top,juvenile,9,patients,0.06474
tfidf_top,juvenile,10,punishment,0.05179
tfidf_top,juvenile,11,character,0.04993
tfidf_top,juvenile,12,rehabilitation,0.03884
tfidf_top,juvenile,13,incarcerated,0.03451
tfidf_top,juvenile,14,facilities,0.03329
tfidf_top,juvenile,15,education program,0.03237
tfidf_top,juvenile,16,character education,0.03051
tfidf_top,juvenile,17,disabilities,0.02774
tfidf_top,juvenile,18,temperament,0.02684
tfidf_top,juvenile,19,incarceration,0.02684
tfidf_top,juvenile,20,grade retention,0.02684
tfidf_top,juvenile,21,returning,0.02684
tfidf_top,juvenile,22,residential,0.02684
tfidf_top,juvenile,23,offending,0.02684
tfidf_top,juvenile,24,cyber,0.02684
tfidf_top,juvenile,25,special education,0.0259
